City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
197,atmore,31.0238,-87.4939,281.98,86,84,1.75,US,1703253407
198,fada,9.5667,8.3,307.04,15,100,2.27,NG,1703253408
199,ndende,-2.4008,11.3581,303.58,63,89,1.06,GA,1703253408
200,smithers,54.7804,-127.1743,277.33,87,40,4.63,CA,1703253408
201,tsetserleg,47.475,101.4542,254.53,94,75,2.51,MN,1703253408
202,qaqortoq,60.7167,-46.0333,257.38,88,17,2.84,GL,1703253408
203,tarko-sale,64.9225,77.785,260.79,97,46,4.42,RU,1703253408
204,afaahiti,-17.75,-149.2833,297.08,87,100,3.0,PF,1703253409
205,kyren,51.6828,102.1408,258.12,79,7,0.45,RU,1703253409
206,keflavik,64.0049,-22.5624,268.39,68,75,2.57,IS,1703253409
207,yelizovo,53.1873,158.3805,253.23,53,0,5.0,RU,1703253409
208,san pedro pochutla,15.7333,-96.4667,294.92,43,31,1.39,MX,1703253320
209,rechka-vydrino,51.485,104.8461,263.2,80,18,2.79,RU,1703253409
210,brisas de zicatela,15.8369,-97.0419,295.37,51,54,2.84,MX,1703253409
211,lae,-6.7221,146.9847,299.58,87,100,1.94,PG,1703253410
212,andreapol',56.6513,32.2664,273.31,98,100,5.3,RU,1703253410
213,kerikeri,-35.2268,173.9474,291.76,97,100,3.72,NZ,1703253324
214,uturoa,-16.7333,-151.4333,299.27,79,100,2.47,PF,1703253410
215,cabo san lucas,22.8909,-109.9124,298.57,58,100,2.57,MX,1703253410
216,lompoc,34.6391,-120.4579,287.56,89,100,3.09,US,1703253410
217,pisco,-13.7,-76.2167,294.18,83,18,1.03,PE,1703253195
218,mahina,-17.5065,-149.489,298.02,88,75,1.54,PF,1703253411
219,tolanaro,-25.0319,46.9987,301.19,69,75,3.09,MG,1703253411
220,nar'yan-mar,67.6713,53.087,256.54,97,86,3.13,RU,1703253411
221,pristen',51.2355,36.6959,274.37,91,100,6.04,RU,1703253411
222,luza,60.6308,47.2512,271.98,95,100,1.54,RU,1703253411
223,gobabis,-22.45,18.9667,306.82,20,100,6.75,,1703253411
224,yuxia,34.0615,108.6291,266.49,36,31,1.38,CN,1703253411
225,eynesil,41.0645,39.1438,286.81,61,100,1.92,TR,1703253412
226,horta,38.5333,-28.6333,289.95,71,75,5.81,PT,1703253412
227,nova sintra,14.8667,-24.7167,293.59,62,12,4.98,CV,1703253412
